Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
1-piperideine-6-carboxylate[c]	2	1.1576	0.53786	0.99999	-1.1576	0.49046	1	-0.11357	0.90596	0.98725	1	1.3656	0.68611	0.99076	1	-1.5262	0.90543	0.97155
[protein]-L-lysine[c]	195	23.789	0.0038021	0.07222	-23.087	0.99672	1	29.909	0.88322	0.98725	140	30.715	0.55599	0.99076	55	7.3125	0.99571	0.99945
[protein]-N6-methyl-L-lysine[c];[protein]-N6,N6-dimethyl-L-lysine[c]	23	9.7818	0.08863	0.4744	-9.7818	0.91544	1	10.564	0.61791	0.97734	19	10.716	0.6039	0.99076	4	1.9759	0.76084	0.9673
[protein]-N6,N6,N6-trimethyl-L-lysine[c]	28	10.706	0.066523	0.41597	-10.706	0.93676	1	11.519	0.64861	0.97978	23	11.753	0.6265	0.99076	5	2.0506	0.79636	0.9673
N6,N6,N6-trimethyl-L-lysine[c]	6	4.4258	0.29926	0.8365	-4.4258	0.71163	1	4.4505	0.70101	0.97978	5	4.5921	0.6872	0.99076	1	0.6334	0.68717	0.9673
3-hydroxy-N6,N6,N6-trimethyl-L-lysine[c]	2	6.7627	0.060512	0.39878	-6.5855	0.91288	1	6.3588	0.1253	0.5729	2	6.3588	0.15808	0.70929	0	NA	NA	NA
4-trimethylammoniobutanal[c]	2	6.7202	0.062022	0.40123	-6.543	0.91116	1	6.3025	0.12978	0.58243	2	6.3025	0.16334	0.72329	0	NA	NA	NA
gamma-butyrobetaine[c]	2	3.2639	0.30038	0.83736	-3.2639	0.69589	1	2.7722	0.58596	0.97439	2	2.7722	0.64382	0.99076	0	NA	NA	NA
L-carnitine[c]	28	6.8342	0.35922	0.88109	-6.8367	0.69925	1	13.81	0.31083	0.83186	19	12.107	0.38938	0.99076	9	6.7673	0.35417	0.91
procollagen-5-hydroxy-L-lysine[c]	6	9.2297	0.027019	0.27174	-9.2297	0.96427	1	7.4866	0.26712	0.78269	5	9.0858	0.10269	0.5786	1	-1.9781	0.93133	0.97581
5-(D-galactosyloxy)-L-lysine-procollagen[c]	3	2.0297	0.47766	0.97924	-2.0297	0.54523	1	-0.24936	0.95296	0.98796	2	1.0933	0.84387	0.99076	1	-1.9781	0.93133	0.97581
[protein]-L-lysine[n];[protein]-N6,N6-dimethyl-L-lysine[n];[protein]-N6,N6,N6-trimethyl-L-lysine[n]	24	9.9998	0.080875	0.45289	-9.7417	0.91236	1	12.09	0.42912	0.89535	19	11.97	0.41005	0.99076	5	3.1528	0.65836	0.9673
[protein]-N6,N6,N6-trimethyl-L-lysine[r];N6,N6,N6-trimethyl-L-lysine[r];peptide sans lysine[r]	5	4.3546	0.27803	0.80805	-4.3546	0.72739	1	4.6008	0.60491	0.97734	4	4.8272	0.57358	0.99076	1	0.6334	0.68717	0.9673
(S)-3-hydroxybutyryl-CoA[m];(S)-3-hydroxy-2-methylbutyryl-CoA[m];3(S)-hydroxy-dihomo-gamma-linolenoyl-CoA[m];3(S)-hydroxy-(6Z,9Z,12Z)-octadecatrienoyl-CoA[m];3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA[m];3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA[m];20-CoA-20-oxo-18r-hydroxy-LTB4[m];3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA[m];3-hydroxydocosanoyl-CoA[m];3-hydroxyeicosanoyl-CoA[m];3-hydroxyoctadecanoyl-CoA[m];(S)-3-hydroxyhexadecanoyl-CoA[m];(S)-3-hydroxytetradecanoyl-CoA[m];(S)-3-hydroxydodecanoyl-CoA[m];(S)-hydroxydecanoyl-CoA[m];(S)-hydroxyoctanoyl-CoA[m];(S)-hydroxyhexanoyl-CoA[m];3-hydroxyheneicosanoyl-CoA[m];3-hydroxynonadecanoyl-CoA[m];3-hydroxyheptadecanoyl-CoA[m];3-hydroxypentadecanoyl-CoA[m];3-hydroxytridecanoyl-CoA[m];3-hydroxyundecanoyl-CoA[m];3-hydroxynonanoyl-CoA[m];3-hydroxyheptanoyl-CoA[m];3-hydroxypentanoyl-CoA[m];3(S)-hydroxy-13-cis-eicosenoyl-CoA[m];(S)-3-hydroxy-11-cis-octadecenoyl-CoA[m];(S)-3-hydroxypalmitoleoyl-CoA[m];cis-(3S)-hydroxytetradec-7-enoyl-CoA[m];3(S)-hydroxy-13-cis-docosenoyl-CoA[m];3(S)-hydroxy-11-cis-eicosenoyl-CoA[m];(S)-3-hydroxyoleyleoyl-CoA[m];(S)-3-hydroxy-7-hexadecenoyl-CoA[m];cis-(3S)-hydroxytetradec-5-enoyl-CoA[m];(3S)-3-hydroxylinoleoyl-CoA[m];(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA[m];3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA[m];(3S)-3-hydroxydodec-cis-6-enoyl-CoA[m];3(S),8(R)-dihydroxy-(6E,10Z)-hexadecadienoate[m];3(S),6(R)-dihydroxy-tetradec-(8Z)-enoate[m];3(S),8(S)-dihydroxy-(6E,10Z)-hexadecadienoate[m];3(S),6(S)-dihydroxy-tetradec-(8Z)-enoate[m];3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA[m];3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA[m];3(S)-hydroxy-4-methyl-pentanoyl-CoA[m]	4	4.3064	0.26371	0.79656	-4.3064	0.73731	1	3.1616	0.72635	0.97978	4	3.1616	0.79779	0.99076	0	NA	NA	NA
acetoacetyl-CoA[m]	9	2.184	0.60946	0.99999	-2.184	0.44809	1	6.2787	0.6204	0.97734	7	4.1446	0.85904	0.99076	2	5.5652	0.13893	0.65625
3-hydroxy-L-kynurenine[c]	6	1.6008	0.61667	0.99999	-1.6008	0.43109	1	2.6187	0.88886	0.98725	4	2.2192	0.88503	0.99076	2	1.3973	0.69063	0.9673
3-hydroxykynurenamine[c];5-hydroxykynurenamine[c]	3	-1.3789	0.82822	0.99999	1.3789	0.21815	0.862	4.8097	0.39982	0.87507	1	3.1466	0.41617	0.99076	2	3.6657	0.35801	0.91164
4,8-dihydroxyquinoline[c];4,6-dihydroxyquinoline[c]	2	-4.0534	0.94791	0.99999	4.0534	0.088301	0.62701	3.6657	0.451	0.91184	0	NA	NA	NA	2	3.6657	0.35801	0.91164
kynurenine[c]	6	1.1332	0.6675	0.99999	-1.1332	0.3841	1	2.1149	0.9209	0.98796	4	1.6021	0.92517	0.99076	2	1.3973	0.69063	0.9673
4-(2-aminophenyl)-2,4-dioxobutanoate[c];4-hydroxy-2-quinolinecarboxylic acid[c];4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate[c];xanthurenate[c]	3	-0.11484	0.7174	0.99999	0.11484	0.32721	0.97846	-0.47744	0.96089	0.98796	2	-0.83693	0.9598	0.99076	1	0.35664	0.72361	0.9673
melatonin[c]	7	0.89534	0.71011	0.99999	-0.89534	0.34921	1	-0.35593	0.99421	0.99746	4	-0.18991	0.98375	0.99076	3	-0.3244	0.91811	0.97296
6-hydroxymelatonin[c]	24	4.541	0.57564	0.99999	-4.5407	0.50744	1	11.448	0.52655	0.95019	14	10.826	0.34763	0.97775	10	4.9263	0.66839	0.9673
hydroxymethylglutathione[c]	2	-1.2504	0.78872	0.99999	1.2504	0.26197	0.90708	1.2662	0.78546	0.97978	1	-0.23637	0.86681	0.99076	1	2.0271	0.48216	0.96567
phenylalanine[c]	34	11.37	0.064114	0.40467	-11.135	0.93477	1	13.221	0.57812	0.97335	26	13.314	0.51255	0.99076	8	3.2531	0.79795	0.9673
phenethylamine[c]	6	-2.87	0.94516	0.99999	8.2033	0.0033313	0.087557	11.819	0.011882	0.21351	2	7.7176	0.064031	0.44704	4	9.0179	0.023636	0.3449
phenylacetate[c]	5	4.772	0.23868	0.75559	-4.772	0.76185	1	6.4453	0.33186	0.8482	4	6.0588	0.38443	0.98993	1	2.2945	0.4416	0.95692
iodide[c]	5	5.8941	0.14959	0.60559	-5.8941	0.84155	1	5.9162	0.40759	0.87802	4	6.535	0.3159	0.93338	1	0.15902	0.74829	0.9673
dopamine[c]	23	-1.0446	0.96166	0.99999	3.7648	0.019878	0.28736	16.258	0.030891	0.31813	10	11.755	0.09416	0.54472	13	11.316	0.047176	0.46718
dopamine-3-O-sulfate[c];tyramine-O-sulfate[c];4-nitrophenyl-sulfate[c]	3	-7.9026	0.99793	0.99999	7.9026	0.0064632	0.15381	7.3114	0.11368	0.5496	0	NA	NA	NA	3	7.3114	0.060864	0.52616
PAP[c]	35	2.5835	0.85702	0.99999	-2.5832	0.23599	0.88786	14.216	0.46899	0.92176	19	11.842	0.42961	0.99076	16	8.1208	0.43108	0.95692
noradrenaline[c]	13	-0.13237	0.86926	0.99999	0.12733	0.19661	0.82634	10.883	0.18621	0.66247	4	10.47	0.022185	0.22492	9	6.1003	0.45248	0.95692
methylamine[c]	5	-4.6394	0.97919	0.99999	10.482	0.00066318	0.028484	11.54	0.0088804	0.18398	1	7.7677	0.021741	0.22492	4	9.0179	0.023636	0.3449
formylglutathione[c]	9	-4.274	0.98472	0.99999	4.274	0.035945	0.39811	10.226	0.11438	0.55033	3	5.3425	0.37884	0.98993	6	8.7465	0.060217	0.52616
L-dopachrome[c]	20	-1.7186	0.97004	0.99999	1.7186	0.069347	0.55509	5.41	0.97701	0.98796	9	2.8527	0.97332	0.99076	11	4.7144	0.73354	0.9673
triiodothyronine[c]	19	3.9883	0.57176	0.99999	-3.9883	0.50181	1	12.528	0.20181	0.69278	13	9.7728	0.45133	0.99076	6	7.9084	0.10904	0.63464
3,5,3-triiodothyronine-4-sulfate[c]	6	-4.0461	0.97396	0.99999	4.0461	0.05088	0.4923	5.6558	0.52839	0.95019	2	1.8056	0.7698	0.99076	4	5.6502	0.24321	0.81031
tyramine[c]	12	-9.3579	0.99993	0.99999	16.9	1.2668e-07	0.00011154	15.808	0.0020307	0.081274	2	7.7176	0.064031	0.44704	10	13.866	0.0012905	0.091828
tetrahydrobiopterin[c]	4	4.2475	0.26931	0.7984	-4.2475	0.73237	1	8.6848	0.067453	0.43646	3	7.345	0.13849	0.65645	1	4.6476	0.14776	0.65625
tyrosine[c]	29	10.903	0.063616	0.40467	-10.648	0.93114	1	13.136	0.44828	0.90843	21	13.499	0.28816	0.91351	8	3.1398	0.80998	0.9673
4alpha-hydroxytetrahydrobiopterin[c]	4	5.9602	0.13353	0.56524	-5.9602	0.85489	1	5.3355	0.41158	0.8808	4	5.3355	0.49508	0.99076	0	NA	NA	NA
L-dopa[c]	4	-0.65591	0.78876	0.99999	0.65591	0.26341	0.90708	3.2843	0.71063	0.97978	1	3.1466	0.41617	0.99076	3	1.9757	0.69387	0.9673
L-dopaquinone[c]	19	-2.1491	0.97545	0.99999	2.1491	0.058402	0.51423	5.2465	0.97237	0.98796	8	2.5572	0.9716	0.99076	11	4.7144	0.73354	0.9673
2-methylacetoacetyl-CoA[m]	4	1.0031	0.62653	0.99999	-1.0031	0.41724	1	3.8481	0.63352	0.97776	3	2.4474	0.79306	0.99076	1	3.4572	0.27718	0.83213
methylmalonyl-CoA[m]	4	1.7223	0.54572	0.99999	-1.7223	0.48994	1	-0.015181	0.96469	0.98796	3	0.54506	0.94023	0.99076	1	-0.97444	0.86482	0.96952
(R)-methylmalonyl-CoA[m]	3	2.355	0.4397	0.94313	-2.355	0.57876	1	1.2992	0.86083	0.98725	3	1.2992	0.8968	0.99076	0	NA	NA	NA
valine[c]	19	7.058	0.23798	0.75509	-6.7434	0.76133	1	9.1875	0.66543	0.97978	15	8.2093	0.78114	0.99076	4	4.1265	0.45487	0.95692
3-methyl-2-oxobutyrate[m];2-oxo-3-methylvalerate[m];4-methyl-2-oxopentanoate[m]	3	0.5541	0.64738	0.99999	-0.5541	0.39259	1	-0.52757	0.96248	0.98796	1	1.06	0.72721	0.99076	2	-1.3956	0.94041	0.97734
3-hydroxyisobutyrate[m]	4	5.3095	0.17831	0.65973	-5.3095	0.81363	1	4.6851	0.50934	0.9497	4	4.6851	0.59513	0.99076	0	NA	NA	NA
isoleucine[c]	22	10.134	0.066768	0.41597	-9.8415	0.9236	1	12.028	0.36553	0.85452	18	11.352	0.46532	0.99076	4	4.1265	0.45487	0.95692
2-methyl-3-oxopropanoate[c];methylmalonate[c]	6	-0.49971	0.8183	0.99999	0.49971	0.23646	0.88786	7.6702	0.24477	0.75888	3	5.1059	0.41428	0.99076	3	5.7414	0.17282	0.6884
S-(2-methylpropanoyl)-dihydrolipoamide[m];S-(2-methylbutanoyl)-dihydrolipoamide[m];S-(3-methylbutanoyl)-dihydrolipoamide[m]	3	0.46867	0.65668	0.99999	-0.46867	0.38402	1	-0.17734	0.9502	0.98796	1	1.06	0.72721	0.99076	2	-0.96671	0.91855	0.97296
leucine[c]	27	6.4124	0.3909	0.91149	-6.1485	0.64576	1	10.365	0.76722	0.97978	19	9.2822	0.79526	0.99076	8	4.7377	0.60437	0.9673
4-methyl-2-oxopentanoate[c]	27	7.5857	0.26829	0.7984	-7.5856	0.77102	1	11.034	0.68229	0.97978	18	11.296	0.47394	0.99076	9	3.1354	0.84438	0.96952
beta-hydroxy-beta-methylbutyrate[c]	3	5.9492	0.11323	0.52967	-5.9492	0.87273	1	4.9752	0.37567	0.85827	2	7.1598	0.095342	0.54814	1	-1.5081	0.90425	0.97155
2-methylglutaconyl-CoA[m];2-methylglutaconic acid[m]	2	3.5386	0.27293	0.80374	-3.5386	0.71992	1	4.0402	0.3952	0.87322	1	5.6202	0.11917	0.61024	1	0.093564	0.7562	0.9673
arachidonyl-CoA[m]	7	1.0138	0.69814	0.99999	3.9239	0.051302	0.49359	6.4021	0.47972	0.93039	5	4.0569	0.75706	0.99076	2	5.5627	0.13914	0.65625
dihydrobiopterin[c]	4	2.5502	0.45049	0.95632	-2.5502	0.57391	1	6.7965	0.21824	0.7214	3	5.1646	0.4054	0.99076	1	4.6476	0.14776	0.65625
tryptophan[c]	23	5.081	0.5021	0.9894	-4.795	0.54455	1	7.162	0.94465	0.98796	16	6.4889	0.93878	0.99076	7	3.1719	0.76416	0.9673
L-formylkynurenine[c]	4	2.4377	0.46338	0.97093	-2.4377	0.56261	1	0.54336	0.94473	0.98796	3	1.4981	0.88222	0.99076	1	-1.5081	0.90425	0.97155
formate[c]	41	5.4617	0.65188	0.99999	-5.4617	0.45925	1	16.617	0.28306	0.79884	26	13.732	0.44876	0.99076	15	9.3932	0.22698	0.81031
formylanthranilate[c];anthranilate[c]	2	3.4735	0.27933	0.80904	-3.4735	0.71431	1	3.1027	0.53637	0.95602	2	3.1027	0.59575	0.99076	0	NA	NA	NA
3-hydroxyanthranilate[c]	3	-3.4305	0.93954	0.99999	10.973	0.00050215	0.0239	6.9671	0.14097	0.60294	1	2.4754	0.52026	0.99076	2	6.7825	0.060881	0.52616
O2-[c]	4	-4.2569	0.96732	0.99999	10.789	0.00063653	0.028484	7.5581	0.14292	0.60294	1	3.374	0.38185	0.98993	3	6.7794	0.089678	0.6069
2-amino-3-carboxymuconate semialdehyde[c]	2	3.1582	0.31126	0.84899	-3.1582	0.68641	1	3.0928	0.53787	0.95676	1	4.7745	0.19811	0.80767	1	-0.4007	0.81138	0.9673
tryptamine[c]	5	-1.2267	0.85103	0.99999	7.069	0.0098337	0.19241	11.86	0.0063491	0.15109	2	7.7176	0.064031	0.44704	3	9.0093	0.013857	0.28638
beta-carboline[c];harman[c];(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline[c]	74	17.437	0.0074055	0.1134	-17.397	0.99327	1	18.265	0.7878	0.97978	61	18.643	0.76583	0.99076	13	3.1937	0.92086	0.97342
indole-3-acetaldehyde[c]	8	1.9346	0.61655	0.99999	-1.9346	0.43815	1	9.6569	0.12389	0.5729	4	8.3057	0.12133	0.61242	4	5.3513	0.28037	0.83643
indoleacetate[c]	8	1.5696	0.65642	0.99999	-1.5696	0.40123	1	7.6089	0.35567	0.85452	4	6.638	0.30177	0.93225	4	4.1225	0.45547	0.95692
methyl-indole-3-acetate[c];3-O-methyldopa[c];salsoline[c];N-methylsalsolinol[c];salsoline-1-carboxylate[c];3-methoxy-4-hydroxyphenylethyleneglycol[c];2-hydroxy-3-methoxy-17beta-estradiol[c];2-methoxyestradiol-17beta[c];4-methoxy-17beta-estradiol[c];4-methoxyestrone[c];2-methoxyestrone[c];SAM[r];2-methoxyestrone[r];SAH[r];2-hydroxy-3-methoxyestrone[c];5-methoxytryptophol[c];hippurate[c];O-methylhippurate[c]	2	-2.4673	0.87682	0.99999	2.4673	0.17175	0.81745	1.928	0.70496	0.97978	0	NA	NA	NA	2	1.928	0.61642	0.9673
5-hydroxy-L-tryptophan[c]	5	1.241	0.62566	0.99999	-1.241	0.42242	1	1.737	0.91217	0.98725	3	1.7777	0.85936	0.99076	2	0.56924	0.79163	0.9673
5-hydroxy-N-formylkynurenine[c]	3	1.2481	0.56907	0.99999	-1.2481	0.46377	1	-0.80178	0.97027	0.98796	2	0.084426	0.91867	0.99076	1	-1.5081	0.90425	0.97155
5-hydroxykynurenine[c]	2	3.9192	0.23709	0.75506	-3.9192	0.7516	1	3.5773	0.46435	0.92115	2	3.5773	0.52429	0.99076	0	NA	NA	NA
3-hydroxykynurenine-O-beta-D-glucoside[c]	19	-2.1491	0.97545	0.99999	2.1491	0.058402	0.51423	5.2465	0.97237	0.98796	8	2.5572	0.9716	0.99076	11	4.7144	0.73354	0.9673
glutathionyl-3-hydroxykynurenine glucoside[c];5-S-glutathionyl-dopamine[c];5-S-glutathionyl-aminochrome reduced[c];5-S-glutathionyl-adrenochrome hydroquinone[c];5-S-glutathionyl-noradrenochrome hydroquinone[c];5-S-glutathionyl-L-dopa[c];5-S-glutathionyl-dopachrome hydroquinone[c];2-hydroxyestrone-1-S-glutathione[c];estrone-2,3-quinone[c];2-hydroxyestrone-1-S-glutathione[m];estrone-2,3-quinone[m];2-hydroxyestrone-1-S-glutathione[r];estrone-2,3-quinone[r];2-hydroxyestrone-1-S-glutathione[p];estrone-2,3-quinone[p];2-hydroxyestrone-4-S-glutathione[c];2-hydroxyestrone-4-S-glutathione[m];2-hydroxyestrone-4-S-glutathione[r];2-hydroxyestrone-4-S-glutathione[p];4-hydroxyestrone-2-S-glutathione[c];estrone-3,4-quinone[c];4-hydroxyestrone-2-S-glutathione[m];estrone-3,4-quinone[m];4-hydroxyestrone-2-S-glutathione[r];estrone-3,4-quinone[r];4-hydroxyestrone-2-S-glutathione[p];estrone-3,4-quinone[p];17beta-estradiol-3,4-quinone[c];4-hydroxy-17beta-estradiol-2-S-glutathione[c];17beta-estradiol-3,4-quinone[m];4-hydroxy-17beta-estradiol-2-S-glutathione[m];17beta-estradiol-3,4-quinone[r];4-hydroxy-17beta-estradiol-2-S-glutathione[r];17beta-estradiol-3,4-quinone[p];4-hydroxy-17beta-estradiol-2-S-glutathione[p];17beta-estradiol-2,3-quinone[c];2-hydroxy-17beta-estradiol-4-S-glutathione[c];17beta-estradiol-2,3-quinone[m];2-hydroxy-17beta-estradiol-4-S-glutathione[m];17beta-estradiol-2,3-quinone[r];2-hydroxy-17beta-estradiol-4-S-glutathione[r];17beta-estradiol-2,3-quinone[p];2-hydroxy-17beta-estradiol-4-S-glutathione[p];2-hydroxy-17beta-estradiol-1-S-glutathione[c];2-hydroxy-17beta-estradiol-1-S-glutathione[m];2-hydroxy-17beta-estradiol-1-S-glutathione[r];2-hydroxy-17beta-estradiol-1-S-glutathione[p]	19	-2.1491	0.97545	0.99999	2.1491	0.058402	0.51423	5.2465	0.97237	0.98796	8	2.5572	0.9716	0.99076	11	4.7144	0.73354	0.9673
phenylpyruvate[c]	5	8.0442	0.04786	0.36298	-8.0442	0.93988	1	11.047	0.014501	0.22711	4	10.584	0.019927	0.22492	1	3.5338	0.26746	0.83093
salsolinol[c]	76	16.806	0.012867	0.16213	-16.766	0.98895	1	18.336	0.80635	0.98288	61	18.643	0.76583	0.99076	15	3.6772	0.92392	0.97521
salsolinol-1-carboxylate[c]	3	-0.083875	0.71431	0.99999	0.083875	0.33014	0.97846	3.3909	0.61291	0.97734	1	3.1466	0.41617	0.99076	2	1.928	0.61642	0.9673
ascorbate[c]	6	0.032617	0.7745	0.99999	-0.032617	0.28101	0.92566	2.5042	0.89686	0.98725	2	3.2144	0.57912	0.99076	4	0.79408	0.87716	0.97155
dehydroascorbic acid[c]	7	4.0826	0.35278	0.87498	-2.1447	0.4742	1	8.8489	0.16273	0.63401	4	8.6798	0.094427	0.54472	3	3.4944	0.46895	0.9622
adrenaline[c]	7	-2.6084	0.94269	0.99999	2.6005	0.098438	0.67648	8.0359	0.25033	0.768	1	8.0204	0.017092	0.217	6	5.4054	0.39277	0.92837
3,4-dihydroxymandelaldehyde[c]	14	-2.3833	0.96805	0.99999	2.3833	0.067894	0.55509	11.354	0.17219	0.64148	6	6.9152	0.42501	0.99076	8	9.0313	0.083353	0.6068
L-metanephrine[c];normetanephrine[c];3-methoxytyramine[c]	4	-4.6108	0.97412	0.99999	4.6108	0.050149	0.4923	3.9553	0.61809	0.97734	0	NA	NA	NA	4	3.9553	0.48089	0.9652
3-methoxy-4-hydroxyphenylglycolaldehyde[c];3-methoxy-4-hydroxyphenylacetaldehyde[c]	6	0.14636	0.76443	0.99999	-0.14636	0.29103	0.93502	6.1906	0.44784	0.90843	3	4.437	0.51735	0.99076	3	4.3177	0.34645	0.90068
vanillylmandelate[c];3,4-dihydroxymandelate[c];3,4-dihydroxyphenylacetate[c];homovanillate[c]	6	1.0621	0.67499	0.99999	-1.0621	0.37708	1	5.1873	0.59813	0.9765	3	4.437	0.51735	0.99076	3	2.8989	0.56016	0.9673
3,4-dihydroxyphenylethyleneglycol[c];5-hydroxytryptophol[c]	10	-4.0368	0.98465	0.99999	4.0368	0.035186	0.39811	9.5013	0.21704	0.72116	3	5.3425	0.37884	0.98993	7	7.8588	0.14562	0.65625
4-hydroxyphenylpyruvate[c]	6	10.221	0.013362	0.16455	-10.221	0.98027	1	12.923	0.0036942	0.11251	5	12.576	0.0042813	0.10085	1	3.5338	0.26746	0.83093
homogentisate[c]	2	2.6765	0.36285	0.88311	-2.6763	0.64168	1	7.7361	0.047117	0.37208	1	7.4067	0.030199	0.27685	1	3.5338	0.26746	0.83093
4-maleylacetoacetate[c]	2	6.5834	0.067085	0.41597	-6.5833	0.91279	1	6.2812	0.1315	0.58332	2	6.2812	0.16535	0.72465	0	NA	NA	NA
fumarylacetoacetate[c]	2	2.839	0.3451	0.86079	-2.839	0.65704	1	2.3994	0.64026	0.97967	2	2.3994	0.69539	0.99076	0	NA	NA	NA
N-methyltyramine[c]	3	-6.7543	0.99428	0.99999	14.297	1.5968e-05	0.0023432	7.5905	0.094498	0.51052	0	NA	NA	NA	3	7.5905	0.04896	0.47977
3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[c];3,5,3-triiodo-L-thyronine-beta-D-glucuronoside[r];3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[c];3,5,3,5-tetraiodo-L-thyronine-beta-D-glucuronoside[r];3,3-diiodo-L-thyronine-beta-D-glucuronoside[c];3,3-diiodo-L-thyronine-beta-D-glucuronoside[r];3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[c];3,3,5-triiodo-L-thyronine-beta-D-glucuronoside[r];3,5-diiodo-L-thyronine-beta-D-glucuronoside[c];3,5-diiodo-L-thyronine-beta-D-glucuronoside[r];9-hydroxy-10-O-D-glucuronoside-(12Z)-octadecenoate[c];9-hydroxy-10-O-D-glucuronoside-(12Z)-octadecenoate[r];10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[c];10-hydroxy-octadec-(12Z)-enoate-9-beta-D-glucuronide[r];12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[c];12-hydroxy-13-O-D-glucuronoside-octadec-(9Z)-enoate[r];12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[c];12-O-D-glucuronoside-13-hydroxyoctadec-(9Z)-enoate[r];bilirubin[r];9-cis-retinoyl-beta-D-glucuronide[c];9-cis-retinoyl-beta-D-glucuronide[r];4-oxo-9-cis-retinoyl-beta-glucuronide[c];4-oxo-9-cis-retinoyl-beta-glucuronide[r];13-cis-retinoyl-glucuronide[c];13-cis-retinoyl-beta-D-glucuronide[r];rac-5,6-epoxy-retinoyl-beta-D-glucuronide[c];rac-5,6-epoxy-retinoyl-beta-D-glucuronide[r];rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinoate[c];rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinoate[r];trichloroethanol glucuronide[c];4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol glucuronide[c];NNAL-N-glucuronide[c];4-hydroxy-all-trans-retinyl-acetate[c];rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl-acetate[c];4-hydroxy-all-trans-retinyl-acetate[r];rac-4-hydroxy-4-O-(beta-D-glucuronide)-all-trans-retinyl-acetate[r]	9	7.5842	0.09709	0.49407	-7.5842	0.89714	1	8.3392	0.315	0.83305	8	8.1711	0.39106	0.99076	1	1.9063	0.50057	0.96722
triiodothyronine[r];3,3-diiodo-L-thyronine[r]	12	8.6018	0.074172	0.43737	-8.6018	0.9203	1	9.4099	0.32682	0.8439	10	9.6549	0.3036	0.9323	2	1.4604	0.68213	0.9673
UDP-glucuronate[r]	11	7.44	0.12132	0.53992	-7.44	0.87723	1	9.8738	0.22213	0.72606	9	9.3256	0.2844	0.91049	2	3.3736	0.40018	0.93245
thyroxine[c]	15	6.6786	0.22231	0.74145	-6.6786	0.79447	1	10.324	0.32515	0.84205	12	9.1155	0.49799	0.99076	3	4.8545	0.27372	0.83213
thyroxine[r];reverse triiodthyronine[r];3,5-diiodo-L-thyronine[r]	11	9.2187	0.045895	0.35709	-9.2187	0.94713	1	9.7804	0.23277	0.74802	10	9.6549	0.3036	0.9323	1	1.9063	0.50057	0.96722
dopamine-O-quinone[c]	24	-0.33727	0.94647	0.99999	0.33727	0.10839	0.70084	5.6868	0.98836	0.99287	13	3.3903	0.99075	0.99485	11	4.7144	0.73354	0.9673
dopaminochrome[c]	23	-1.0553	0.96192	0.99999	1.0553	0.085348	0.61851	5.167	0.99073	0.99468	12	2.6396	0.99396	0.99665	11	4.7144	0.73354	0.9673
adrenochrome[c];noradrenochrome[c]	20	-1.7186	0.97004	0.99999	1.7186	0.069347	0.55509	5.41	0.97701	0.98796	9	2.8527	0.97332	0.99076	11	4.7144	0.73354	0.9673
3,3-diiodo-L-thyronine[c]	33	8.6871	0.21784	0.73135	-8.6869	0.81964	1	14.546	0.36085	0.85452	23	13.942	0.30062	0.93225	10	5.2802	0.6175	0.9673
iodide[r]	3	4.0675	0.256	0.78813	-4.0675	0.74116	1	4.3759	0.46474	0.92115	2	5.2469	0.28186	0.91049	1	0.15902	0.74829	0.9673
3,3-diiodo-L-thyronine-4-O-sulfate[c]	21	4.3875	0.54983	0.99999	-4.3872	0.52462	1	11.121	0.45874	0.91905	13	10.077	0.40505	0.99076	8	5.1732	0.53886	0.9673
reverse triiodthyronine[c]	16	7.8346	0.14362	0.58681	-7.8346	0.86332	1	9.9246	0.43601	0.90068	13	9.5721	0.4823	0.99076	3	2.994	0.54569	0.9673
